sample_id,time,N,13CO2,12CO2,signal_length,mod_mean,mod_std,mod_max,phase_sin_mean,phase_cos_mean,phase_wrap_jumps,modulus_identity_relative_mae,phase_xy_circular_mae_radians,P_med,P_cons,F_med,F_cons,Temp
13:05:15/scan-018,13:05:15,18,0.824743,73.741923,200000,0.0013076824736138737,0.00044516774714840586,0.002937506265705427,-0.153904746051535,-0.7288205490727274,57,2.217196584047681e-06,0.0027565004904238706,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3
13:05:15/scan-019,13:05:15,19,0.824743,73.741923,200000,0.0012772379254332202,0.00045225246168414474,0.0029949642115754543,-0.153539869595443,-0.7170047588864539,50,1.1068605187055531e-06,0.0025064595435957382,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:14:37/scan-000,13:14:37,0,1.237115,110.612885,200000,0.001309715151910969,0.00046717794165773626,0.0030735269018783724,-0.1438147266669606,-0.7213558328293884,49,1.0644168641294494e-06,0.0018624561622571313,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:14:37/scan-001,13:14:37,1,1.237115,110.612885,200000,0.0013103718001102435,0.0004703592723259398,0.0031441712454205193,-0.14932893118598298,-0.7418807885641917,52,1.0155052820947973e-06,0.0026003422658214537,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:14:37/scan-002,13:14:37,2,1.237115,110.612885,200000,0.0014067957137338784,0.0005924541044131813,0.0036658565209693583,-0.16128185769603298,-0.6673010049915785,61,1.517796172014473e-06,0.0028002035310598166,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:14:37/scan-003,13:14:37,3,1.237115,110.612885,200000,0.0014437641636285982,0.0005990473826934648,0.0037533536607765507,-0.16624324156614287,-0.6671121001800193,60,1.8686156215593403e-06,0.003127164469025364,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:14:37/scan-004,13:14:37,4,1.237115,110.612885,200000,0.001411460456868983,0.0006125890561770451,0.0036781398427114414,-0.16696679502227005,-0.6552995339911767,39,9.81049124974997e-07,0.002311712037834551,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3
13:14:37/scan-005,13:14:37,5,1.237115,110.612885,200000,0.001443730696299329,0.000635210321891821,0.0039147131991249555,-0.18170077471751236,-0.6654286013562488,59,8.605038623302993e-07,0.002523234147923103,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:14:37/scan-006,13:14:37,6,1.237115,110.612885,200000,0.0014576033662280974,0.0006460564268235946,0.003960259805543136,-0.17066347970842471,-0.6730889435473221,43,1.1221572298036668e-06,0.002367627553539904,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:14:37/scan-007,13:14:37,7,1.237115,110.612885,200000,0.001484372148006648,0.0006393337146446033,0.004018675869745745,-0.17486455024729874,-0.6673375848701631,65,7.621070231219863e-07,0.00291022024889947,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3
13:14:37/scan-008,13:14:37,8,1.237115,110.612885,200000,0.0014785280081463213,0.000626619228722878,0.003929227236540193,-0.1974254114414594,-0.6628669486106955,35,9.060568303860458e-07,0.002290195826451238,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:14:37/scan-009,13:14:37,9,1.237115,110.612885,200000,0.0014603737000487022,0.0006460069626310512,0.003909421490660695,-0.17402531746078473,-0.6618949338064224,41,1.1848195578587654e-06,0.002298906217960629,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3
13:14:37/scan-010,13:14:37,10,1.237115,110.612885,200000,0.0014801400618921128,0.0006243201422019851,0.0038900547246295625,-0.1780337560798947,-0.6649026660618779,34,1.1857067306550353e-06,0.0014917271031444621,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3
13:14:37/scan-011,13:14:37,11,1.237115,110.612885,200000,0.0014999503878227122,0.0006679808489474118,0.004111245835935738,-0.17203139469075043,-0.6522031617167652,46,8.743564744243362e-07,0.0021904626629607464,0.8999727817093087,0.8999727817093087,109.0,1000.0,30.3
13:14:37/scan-012,13:14:37,12,1.237115,110.612885,200000,0.0014604390883588105,0.0006164326751500504,0.003785339245486921,-0.17164746277936874,-0.6486609936655249,41,1.0739168055073216e-06,0.002112856851480457,0.9000408274360371,0.8999727817093087,109.0,1000.0,30.3
13:14:37/scan-013,13:14:37,13,1.237115,110.612885,200000,0.0015037389443651222,0.000626081747066784,0.0038897931413541553,-0.1828411126743481,-0.6554956597298404,61,1.1158750420849026e-06,0.002394691193475487,0.9000408274360371,0.8999727817093087,109.0,1000.0,30.3
13:14:37/scan-014,13:14:37,14,1.237115,110.612885,200000,0.0014789593547298206,0.0006302268458804816,0.004137895510389444,-0.21097092225180447,-0.6457267880458769,48,1.3227987046680774e-06,0.002275992677985591,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:14:37/scan-015,13:14:37,15,1.237115,110.612885,200000,0.0014906601835743792,0.0006561923596903404,0.004079408715821853,-0.1783392761104062,-0.6391476815212355,51,9.801573745369968e-07,0.0030164977503407066,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:14:37/scan-016,13:14:37,16,1.237115,110.612885,200000,0.0014817646464981681,0.0006479504760609316,0.004037598209298581,-0.17576688509475916,-0.6441493977897449,26,1.2941957517816964e-06,0.001187752633264683,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:14:37/scan-017,13:14:37,17,1.237115,110.612885,200000,0.0014699840589476292,0.0006042669371958986,0.003805946558252694,-0.18613051164445815,-0.6539411381276237,15,8.624207841789801e-07,0.000983907968844584,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:14:37/scan-018,13:14:37,18,1.237115,110.612885,200000,0.0015078691773956427,0.0006230624123325528,0.0038325529872794716,-0.1833069544476471,-0.6571278967869043,37,8.421644604525819e-07,0.001744542209713157,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:14:37/scan-019,13:14:37,19,1.237115,110.612885,200000,0.0014673075623095016,0.0006262264686346821,0.0040524490397926645,-0.17959701822774016,-0.6553549686101969,43,8.759081275329614e-07,0.0016035577238553906,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3
13:24:02/scan-000,13:24:02,0,1.649487,147.483847,200000,0.0014831229089614572,0.0006401672725717382,0.003932200994640602,-0.17227451157318233,-0.6565258328949243,45,1.0175404783668429e-06,0.0015807193029849528,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:24:02/scan-001,13:24:02,1,1.649487,147.483847,200000,0.0014731973159237467,0.0006377189109653921,0.003887540742016547,-0.1873396796152326,-0.659001691633591,39,1.1097361641411644e-06,0.0017594118017848828,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:24:02/scan-002,13:24:02,2,1.649487,147.483847,200000,0.0016002575963657143,0.0007725909536342177,0.004471192835806763,-0.19553792142083512,-0.607784040709915,39,1.9858791670238955e-06,0.0019603406305244665,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3
13:24:02/scan-003,13:24:02,3,1.649487,147.483847,200000,0.0016409782093027756,0.0008122662732162015,0.004649820837873371,-0.20614689129052963,-0.603758077697185,39,7.340235735392134e-07,0.0016936148614764292,0.9000408274360371,0.8999727817093087,109.0,1000.0,30.3
13:24:02/scan-004,13:24:02,4,1.649487,147.483847,200000,0.001673963465632126,0.0008162174891367304,0.004891309814337254,-0.21661983349214167,-0.5939005566771581,15,9.151232760978934e-07,0.0007532507701164381,0.9000408274360371,0.8999727817093087,109.0,1000.0,30.3
13:24:02/scan-005,13:24:02,5,1.649487,147.483847,200000,0.0016780227994851163,0.0008381530636835256,0.004813911427891474,-0.19913310863539707,-0.5987047296347042,38,8.139966956793739e-07,0.001351098726629639,0.8999727817093087,0.8999727817093087,109.0,1000.0,30.3
13:24:02/scan-006,13:24:02,6,1.649487,147.483847,200000,0.0016692673271329638,0.0008350828613730104,0.005008160735927058,-0.20843056806959076,-0.6137837902305322,32,1.6059314889492976e-06,0.0012037726689339378,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:24:02/scan-007,13:24:02,7,1.649487,147.483847,200000,0.0016901182273123651,0.0008164544614524715,0.004886069676519397,-0.19622745532255104,-0.601894749615151,35,9.431088262125572e-07,0.0012729471071882515,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:24:02/scan-008,13:24:02,8,1.649487,147.483847,200000,0.0016838308599699476,0.0008127765294630505,0.005009011866554813,-0.20000153157414424,-0.594510996082426,38,8.00710940487932e-07,0.001441295635034386,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:24:02/scan-009,13:24:02,9,1.649487,147.483847,200000,0.0016451722112144967,0.0008468803247931747,0.004925606860539551,-0.20791812692193015,-0.5978980404735336,26,6.595275105621749e-07,0.0013476186971715552,0.9000408274360371,0.8999727817093087,109.0,1000.0,30.3
