target,feature,mean_coefficient,mean_abs_coefficient,coefficient_std,sign_consistency
13CO2,mod_peak3_freq,-0.007789186101537278,0.008629009111785208,0.006417021860466008,0.7142857142857143
13CO2,mod_peak2_freq,0.0043065650221501,0.008453093405200559,0.008774594870162503,0.7142857142857143
13CO2,phase_skew,0.004920694009674507,0.007704124056808747,0.00786884360305154,0.42857142857142855
13CO2,P_med,-0.0005300779727808682,0.007183589482763553,0.007305902418842067,0.14285714285714285
13CO2,phase_bin_18_mean,0.007170117186347677,0.007170117186347677,0.0031762631581770174,1.0
13CO2,phase_min,0.0038169182366647953,0.006998006617131965,0.007688754575033961,0.14285714285714285
13CO2,phase_bin_14_mean,-0.001954565274888561,0.006837999412960384,0.007860095093127314,0.42857142857142855
13CO2,mod_psd_mean,0.0016749903094407188,0.006375225606587667,0.0070656674264914085,0.14285714285714285
13CO2,mod_psd_total,0.0016749903090214624,0.006375225606507391,0.007065667426553334,0.14285714285714285
13CO2,phase_bin_31_mean,0.0013540147293785167,0.0055313607214486065,0.006376710307411055,0.14285714285714285
13CO2,Y_max,-0.003229722079761914,0.004168327348936852,0.005279726900950532,0.42857142857142855
13CO2,mod_peak4_freq,0.0008247457127059473,0.0029516830882127553,0.0031440992631526637,0.42857142857142855
13CO2,mod_psd_freq_max,0.0,0.0,0.0,0.0
13CO2,mod_peak0_freq,0.0,0.0,0.0,0.0
13CO2,P_cons,0.0,0.0,0.0,0.0
13CO2,F_cons,0.0,0.0,0.0,0.0
