model,seed,target,group,samples,rmse,mae,bias
InceptionNestedAug,4,12CO2,13:33:30,20,15.180910110473633,12.066567420959473,-10.078592300415039
InceptionNestedAug,4,13CO2,13:43:08,20,0.15133453905582428,0.10293064266443253,-0.042334698140621185
InceptionNestedAug,4,12CO2,13:43:08,20,17.97635269165039,13.579638481140137,-13.388635635375977
InceptionNestedAug,5,13CO2,12:46:00,20,0.5696975588798523,0.5664420127868652,0.5664420127868652
InceptionNestedAug,5,12CO2,12:46:00,20,53.50031661987305,52.405433654785156,52.405433654785156
InceptionNestedAug,5,13CO2,12:55:42,20,0.352939248085022,0.34977251291275024,0.34977251291275024
InceptionNestedAug,5,12CO2,12:55:42,20,25.643503189086914,25.20233917236328,25.20233917236328
InceptionNestedAug,5,13CO2,13:05:15,20,0.12972016632556915,0.09002375602722168,-0.046669550240039825
InceptionNestedAug,5,12CO2,13:05:15,20,20.594961166381836,17.079090118408203,-17.079090118408203
InceptionNestedAug,5,13CO2,13:14:37,20,0.12495653331279755,0.06849174946546555,-0.04519300162792206
InceptionNestedAug,5,12CO2,13:14:37,20,11.511454582214355,6.032568454742432,-4.26776123046875
InceptionNestedAug,5,13CO2,13:24:02,20,0.21732042729854584,0.18059058487415314,-0.17350797355175018
InceptionNestedAug,5,12CO2,13:24:02,20,24.147335052490234,20.517154693603516,-20.517154693603516
InceptionNestedAug,5,13CO2,13:33:30,20,0.14672337472438812,0.10516250133514404,-0.10514509677886963
InceptionNestedAug,5,12CO2,13:33:30,20,21.203664779663086,19.617582321166992,-19.617582321166992
InceptionNestedAug,5,13CO2,13:43:08,20,0.19762590527534485,0.14839038252830505,-0.13455422222614288
InceptionNestedAug,5,12CO2,13:43:08,20,15.202284812927246,10.926640510559082,-8.87358570098877
